symbol,date,rs,rsi,ema10,ema20,ema30,ema50,ema100,ema200,volume20,volume50
 ADANIPORTS.NS,2024-07-19,1.0471485433046799,51.151566247082606,1485.2642800953884,1474.7623412935227,1460.027840444859,1430.6271831493475,1355.8194489491739,1214.0319478740416,4664324.7,6433467.04
 ADANIPORTS.NS,2024-07-22,1.0273258202087774,50.673937556962684,1482.0071338209427,1474.0564017023241,1460.5002362604125,1432.067292656665,1358.0279742291098,1216.5525252642099,3455793.1,6435343.9
 ADANIPORTS.NS,2024-07-23,1.4454918725671715,59.1084308552519,1486.61492323276,1477.2272182626682,1463.5228000878658,1435.0195547323226,1360.9848455431063,1219.4460322325854,3604657.2,6503255.24
 ADANIPORTS.NS,2024-07-24,1.1528204747472064,53.54930837335963,1486.2849460682808,1477.9484402212831,1464.8955258130438,1436.9717309713735,1363.43663174677,1222.0863707061728,3547570.0,6506836.04
 ADANIPORTS.NS,2024-07-25,1.1740929103256692,54.00380566761498,1486.4149558740478,1478.810493533542,1466.32162092188,1438.933623874457,1365.883431118121,1224.722327216559,3497262.95,6501156.0
 ADANIPORTS.NS,2024-07-26,1.7546350249119862,63.69755009442853,1496.6576911696754,1484.8999703398713,1471.2524840882104,1443.0048543107528,1369.3857394128117,1227.8867816721156,3332128.95,6531379.7
 ADANIPORTS.NS,2024-07-29,1.8213597731563176,64.55609775419468,1506.1199202609844,1490.9761589905384,1476.2490948678017,1447.1497600700125,1372.9365158832882,1231.0789525129094,2851822.65,6526157.08
 ADANIPORTS.NS,2024-07-30,1.769018061412581,63.886114939609236,1513.4162983953506,1496.240334324773,1480.7652822956854,1451.0360439888357,1376.368466063817,1234.2149828361642,2823230.2,6485722.34
 ADANIPORTS.NS,2024-07-31,2.0677702041407713,67.4030343390703,1523.6860667623891,1503.2555429047052,1486.5159108194518,1455.6973765545308,1380.2007741499606,1237.555132503606,2685903.25,6499260.34
 ADANIPORTS.NS,2024-08-01,2.343249615528027,70.08898182907406,1535.770422699057,1511.5312078103582,1493.2019826642656,1460.9700294117674,1384.3581850462795,1241.0635393882874,2822154.5,6558460.54
